year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.31030223873869284,0.37967211617869023,rq,0.5,False
50,0.36317856796783615,0.3303158038013859,rq,0.5,False
100,0.395505146399972,0.3104020644948271,rq,0.5,False
150,0.3891664242510695,0.30868472820143195,rq,0.5,False
200,0.3371501039072782,0.31043670155072567,rq,0.5,False
250,0.24797187747501198,0.30956726514666566,rq,0.5,False
300,0.14417277685618288,0.30522389764714863,rq,0.5,False
350,0.05537750428284782,0.2976789259248177,rq,0.5,False
400,0.008554556627067167,0.29150021380503244,rq,0.5,False
450,0.01887233499225427,0.29596700584080005,rq,0.5,False
500,0.0841010713958246,0.3133710046093128,rq,0.5,False
550,0.18445570119552007,0.331795163238141,rq,0.5,False
600,0.2883558140144548,0.3371664858554928,rq,0.5,False
650,0.3627628254382577,0.3271576880424025,rq,0.5,False
700,0.3848720433690934,0.31298678029508165,rq,0.5,False
750,0.35093833430596255,0.3086127686181284,rq,0.5,False
800,0.2788123120703023,0.3163134335231842,rq,0.5,False
850,0.20326107542502603,0.32748381297623264,rq,0.5,False
900,0.1660231845063586,0.3358566921025503,rq,0.5,False
950,0.20417382182068833,0.34246667590287455,rq,0.5,False
1000,0.34006229513828135,0.3497529783638095,rq,0.5,False
1050,0.5745405292758043,0.35612021634414337,rq,0.5,False
1100,0.8838861533504219,0.35798518882599517,rq,0.5,False
1150,1.2207622062650576,0.35374287854654074,rq,0.5,False
1200,1.5204518094191086,0.3429938486558082,rq,0.5,False
1250,1.7138330274362594,0.3240669177165181,rq,0.5,False
1300,1.746336647318402,0.29579876269451993,rq,0.5,False
1350,1.597530453968724,0.26215031077552664,rq,0.5,False
1400,1.2920881902252432,0.23379595869849543,rq,0.5,False
1450,0.8941317889498492,0.22358576643985417,rq,0.5,False
1500,0.4847717810860628,0.23638685341355742,rq,0.5,False
1550,0.1328382309069155,0.26357227306724007,rq,0.5,False
1600,-0.12631478854356143,0.2909925650454668,rq,0.5,False
1650,-0.29384667582141344,0.30897030648312146,rq,0.5,False
1700,-0.3935298159394801,0.3158588493730514,rq,0.5,False
1750,-0.45164182131297415,0.315662927338382,rq,0.5,False
1800,-0.4827726233119629,0.31355316829998614,rq,0.5,False
1850,-0.4874004627438384,0.3154068724341522,rq,0.5,False
1900,-0.45888640536644143,0.33113060643668146,rq,0.5,False
1950,-0.3930026140626932,0.3711595845643448,rq,0.5,False
