kernel,length_scale,fixed,pearson,spearman,rmse,mean_uncertainty
matern,0.3,True,0.517,0.473,0.855,0.313
matern,0.3,False,0.431,0.407,0.863,0.306
matern,0.5,True,0.611,0.522,0.848,0.324
matern,0.5,False,0.431,0.407,0.863,0.306
matern,1.0,True,0.692,0.593,0.844,0.339
matern,1.0,False,0.431,0.407,0.863,0.306
rbf,0.3,True,0.755,0.621,0.851,0.338
rbf,0.3,False,0.494,0.484,0.86,0.317
rbf,0.5,True,0.761,0.61,0.816,0.359
rbf,0.5,False,0.494,0.484,0.86,0.317
rbf,1.0,True,0.509,0.352,0.851,0.386
rbf,1.0,False,0.494,0.484,0.86,0.317
rq,0.3,True,0.636,0.549,0.851,0.328
rq,0.3,False,0.494,0.484,0.86,0.317
rq,0.5,True,0.524,0.484,0.855,0.321
rq,0.5,False,0.494,0.484,0.86,0.317
rq,1.0,True,0.497,0.484,0.856,0.319
rq,1.0,False,0.494,0.484,0.86,0.317
