year_bp,y_pred,y_std,composite,removed
0,0.3228555649814068,0.41908454642235254,weighted,all_proxies
50,0.32801578123981584,0.369240656742227,weighted,all_proxies
100,0.3244418167847738,0.3417595628469712,weighted,all_proxies
150,0.30611201951781536,0.33037023764310786,weighted,all_proxies
200,0.27257611439976714,0.3260685598415754,weighted,all_proxies
250,0.22814006528682013,0.323816744145321,weighted,all_proxies
300,0.18157952541408104,0.3224779317401924,weighted,all_proxies
350,0.1430921154946484,0.3210815745851421,weighted,all_proxies
400,0.11888236244748743,0.3198888709436727,weighted,all_proxies
450,0.11415786249132245,0.32202755587533666,weighted,all_proxies
500,0.13066498832863999,0.32857733516042104,weighted,all_proxies
550,0.1636383099789769,0.33496573985382677,weighted,all_proxies
600,0.20419119346027917,0.33712441240874347,weighted,all_proxies
650,0.24316669864369017,0.33487587464955904,weighted,all_proxies
700,0.27432432460087386,0.33128710358899954,weighted,all_proxies
750,0.29666729023444705,0.33059347350232554,weighted,all_proxies
800,0.31753061429089857,0.33377017679763005,weighted,all_proxies
850,0.35245545995651306,0.33853522840054256,weighted,all_proxies
900,0.41639617533871065,0.34338618847984076,weighted,all_proxies
950,0.517726022375963,0.347879731021092,weighted,all_proxies
1000,0.6564507787245351,0.35242406623387873,weighted,all_proxies
1050,0.8279039324922155,0.3553240663704253,weighted,all_proxies
1100,1.0163595939621404,0.35481315531268764,weighted,all_proxies
1150,1.1947620699537065,0.3502049317869025,weighted,all_proxies
1200,1.334029691552363,0.3421661540031975,weighted,all_proxies
1250,1.413931580194872,0.3303936015742531,weighted,all_proxies
1300,1.4198885441191436,0.3146349177989258,weighted,all_proxies
1350,1.3396536074466654,0.29678969016267764,weighted,all_proxies
1400,1.1640583289116733,0.28241053414226447,weighted,all_proxies
1450,0.9078310218651473,0.27761919290061493,weighted,all_proxies
1500,0.6296319350858837,0.28376577300548184,weighted,all_proxies
1550,0.37055277187002134,0.2976686424280593,weighted,all_proxies
1600,0.13485704307927926,0.3114958313783435,weighted,all_proxies
1650,-0.07500896026911463,0.3209515391823293,weighted,all_proxies
1700,-0.2520802497762373,0.326238964763382,weighted,all_proxies
1750,-0.3928580472706031,0.32910977402372193,weighted,all_proxies
1800,-0.49856499910241275,0.3329599188935228,weighted,all_proxies
1850,-0.5739367931096506,0.34329881445686977,weighted,all_proxies
1900,-0.6248711129154487,0.36706159317273157,weighted,all_proxies
1950,-0.6576885982397502,0.4107368443121076,weighted,all_proxies
